user_id,age,gender,country,occupation,income_level,years_gaming,preferred_genre,platform,device_type,rank_tier,daily_playtime_hours,weekly_play_sessions,late_night_sessions_hours,weekend_playtime_hours,consecutive_hours_max,multiplayer_ratio,toxic_chat_reports,rage_quit_frequency,in_game_purchases,monthly_spending_usd,lootbox_openings,subscription_status,stress_score,loneliness_score,dopamine_dependency_index,self_control_score,impulsiveness_score,anxiety_level,depression_indicator,emotional_stability,sleep_hours,exercise_frequency_per_week,caffeine_intake_cups_day,social_interaction_hours,relationship_status,gpa_or_performance_score,missed_deadlines,productivity_drop_percent,absenteeism_days,internet_speed_mbps,screen_time_total_hours,behavioral_cluster,addiction_score,addiction_binary,addiction_severity,burnout_probability,mental_health_risk_score,churn_probability
USR000001,21,Male,India,Employed,Middle,9,Sandbox,PC,Laptop,Gold,3.5,4,1.0,4.9,6.5,0.67,0,0,0,38.67,10,None,8.2,8.8,2.7,7.0,5.1,9.9,8.5,3.7,6.3,2,0,2.7,In a relationship,4.0,4,0,7,39.9,5.4,Casual Enjoyer,27.61,0,Mild,1,0.92,1
USR000002,25,Male,India,Employed,Lower-Middle,13,RPG,Mobile,Mixed,Bronze,10.9,14,3.2,14.7,15.9,0.44,2,0,7,47.35,18,Premium,7.8,5.6,8.2,6.5,3.5,6.2,4.1,3.0,6.1,0,2,3.5,In a relationship,4.0,4,16.7,6,71.5,13.4,Streamer/Creator,55.51,1,Moderate,1,0.515,0.813
USR000003,26,Male,Brazil,Employed,Middle,14,RPG,PC+Mobile,High-end PC,Master,8.6,7,2.4,11.6,13.1,0.32,0,1,3,37.8,4,Ultimate,8.4,4.1,5.0,4.2,6.1,7.7,6.7,3.3,6.1,1,3,2.0,Prefer not to say,4.0,6,8.5,7,119.4,12.3,Streamer/Creator,45.85,0,Moderate,1,0.72,0.947
USR000004,22,Male,South Korea,Employed,Upper-Middle,10,Strategy,PC+Mobile,Mobile,Bronze,5.9,5,1.1,13.6,8.2,0.23,7,7,9,74.51,15,None,6.0,4.5,6.0,5.8,3.6,5.9,4.5,6.5,6.7,4,5,0.6,Married,4.0,3,8.7,8,136.5,6.9,Toxic Competitor,39.87,0,Mild,1,0.52,0.66
USR000005,17,Female,India,Student,Middle,5,Strategy,PC,Laptop,Bronze,7.4,8,3.2,6.3,14.2,0.57,4,2,5,25.32,0,Premium,8.0,4.2,6.2,6.5,5.0,8.4,3.3,5.5,7.6,1,0,1.2,Single,2.6,3,21.9,6,78.8,9.3,Competitive Grinder,46.97,0,Moderate,1,0.585,0.867
USR000006,13,Male,USA,Freelancer,Middle,1,Horror,PC,Mobile,Silver,1.4,1,0,1.7,3.5,0.35,0,0,9,18.71,0,None,1,7.2,2.2,7.0,4.2,3.0,5.0,10,7.2,3,1,3.1,In a relationship,4.0,0,0,3,93.8,3.7,Casual Enjoyer,17.26,0,None,0.32,0.4,0.15
USR000007,27,Male,UK,Unemployed,Lower-Middle,15,RPG,Console,Console,Silver,8.0,10,2.9,10.6,12.3,0.49,17,7,7,0,9,Premium,7.6,5.5,4.6,8.4,4.3,5.8,5.2,3.9,8.0,1,3,0.5,In a relationship,4.0,2,30.2,12,5,10.0,Toxic Competitor,34.82,0,Mild,1,0.55,0.879
USR000008,18,Non-binary,Canada,Student,Middle,6,MOBA,PC,Mixed,Bronze,2.2,3,0.2,3.2,5.1,0.51,1,0,3,14.17,2,Premium,4.6,6.9,1.4,4.7,3.9,4.7,5.1,8.5,7.3,0,0,3.6,Single,3.35,2,0,5,97.1,4.7,Casual Enjoyer,22.66,0,Mild,1,0.49,0.825
USR000009,16,Female,USA,Student,High,1,Sports,Mobile,Mixed,Gold,8.3,12,1.7,11.5,11.9,0.67,6,6,13,95.67,22,Basic,8.1,3.2,6.1,10,2.6,4.8,3.2,3.8,7.5,0,3,4.7,In a relationship,2.72,3,35.2,5,81.9,11.0,Toxic Competitor,35.08,0,Mild,1,0.4,0.928
USR000010,30,Female,Brazil,Freelancer,Middle,18,Strategy,Console,Mid-range PC,Gold,6.9,8,2.4,6.1,12.7,0.53,9,7,0,55.9,14,Premium,4.9,1,2.9,3.4,6.4,4.8,1,7.2,5.4,2,1,4.8,In a relationship,4.0,2,24.8,3,22.2,7.5,Competitive Grinder,46.24,0,Moderate,1,0.29,0.756
USR000011,18,Male,India,Employed,Middle,6,MMORPG,Console,Console,Gold,7.5,9,3.0,8.6,12.6,0,7,2,5,14.89,1,Ultimate,8.2,3.9,5.0,6.6,1,7.5,3.4,5.7,7.3,0,4,2.9,Married,4.0,8,5.1,0,72.2,8.3,Binge Player,37.67,0,Mild,1,0.545,0.871
USR000012,21,Male,India,Freelancer,Lower-Middle,9,Strategy,PC,High-end PC,Master,8.4,10,3.7,11.8,11.4,0.12,0,0,4,28.33,7,Premium,6.6,5.2,5.2,4.0,5.1,6.5,6.4,6.7,5.3,2,0,2.2,Single,4.0,1,0,3,157.5,11.8,Escape Seeker,56.22,1,Moderate,1,0.645,0.825
USR000013,19,Prefer not to say,Canada,Student,Middle,7,Sports,PC,Mixed,Bronze,6.1,7,1.3,8.7,7.0,0.72,0,0,0,12.85,0,Premium,4.1,5.4,3.7,7.8,2.1,4.2,7.4,7.7,8.3,1,0,1.3,In a relationship,2.84,1,25.6,4,136.7,7.9,Social Gamer,33.4,0,Mild,1,0.58,0.745
USR000014,22,Male,India,Employed,Middle,10,Casual,PC+Console,High-end PC,Silver,4.9,8,1.3,8.7,5.4,0.44,0,2,4,20.79,4,None,7.8,6.8,3.8,5.9,4.5,7.1,7.4,5.4,4.5,0,2,2.4,Single,4.0,3,13.8,3,89.8,8.2,Social Gamer,35.8,0,Mild,1,0.725,0.841
USR000015,27,Male,Brazil,Employed,Low,14,Casual,PC,High-end PC,Gold,4.5,5,1.4,5.6,9.0,0,1,1,0,17.86,0,Basic,7.4,5.1,2.6,7.3,2.7,5.5,4.5,7.0,7.0,2,0,1.9,Single,4.0,1,9.4,1,149.9,6.2,Escape Seeker,27.81,0,Mild,1,0.5,0.879
USR000016,22,Female,South Korea,Freelancer,Lower-Middle,10,MMORPG,Console,Mixed,Bronze,9.4,9,3.7,13.9,13.9,0.71,2,2,0,0,5,Basic,8.2,4.9,5.5,7.9,3.8,6.4,5.6,8.7,5.3,0,1,4.3,Single,4.0,7,27.7,3,116.1,11.9,Competitive Grinder,47.67,0,Moderate,1,0.6,0.767
USR000017,18,Female,France,Student,Middle,6,RPG,Mobile,Laptop,Unranked,6.0,6,2.6,9.1,12.2,0.63,23,4,4,35.71,12,Premium,5.2,4.8,5.1,5.8,6.5,5.4,4.9,8.7,5.7,3,3,2.8,Single,2.59,4,15.9,7,213.7,9.8,Toxic Competitor,49.49,0,Moderate,1,0.515,0.76
USR000018,20,Male,Germany,Employed,Low,7,MOBA,PC+Mobile,Mobile,Silver,11.2,10,3.7,20,13.9,0.84,0,0,2,32.09,12,None,7.0,3.9,6.1,6.5,4.2,4.1,4.4,7.4,7.2,0,3,2.3,In a relationship,4.0,3,10.5,5,158.1,14.4,Streamer/Creator,48.88,0,Moderate,1,0.425,0.771
USR000019,30,Male,Germany,Employed,Middle,15,Strategy,PC+Console,Mid-range PC,Silver,0.5,1,0,0.9,1,0.08,1,0,0,58.7,12,None,7.1,7.0,4.3,4.9,3.7,6.3,4.0,8.2,8.8,4,0,0.5,Single,4.0,2,0,1,123.8,1.2,Casual Enjoyer,21.8,0,Mild,1,0.515,0.747
USR000020,18,Non-binary,USA,Employed,Lower-Middle,6,RPG,Mobile,Laptop,Diamond,4.1,3,0.7,6.1,4.1,0.25,0,1,4,45.6,5,Basic,2.0,2.7,2.5,10,5.6,1.4,1,6.9,7.0,2,2,1.1,Divorced,4.0,0,27.7,2,65.2,5.2,Social Gamer,20.25,0,Mild,0.946,0.12,0.472
USR000021,13,Male,India,Student,Middle,1,Battle Royale,PC,Console,Silver,4.5,4,2.2,7.5,9.6,0.56,2,0,0,27.55,8,None,9.2,8.3,5.2,8.8,6.0,9.5,,9.3,6.4,2,1,1.4,In a relationship,2.95,0,15.4,3,29.8,7.5,Social Gamer,29.92,0,Mild,1,0.73,0.938
USR000022,13,Male,USA,Unemployed,Upper-Middle,1,RPG,Mobile,High-end PC,Master,7.4,9,3.0,10.3,12.1,0.65,2,4,0,36.95,0,Ultimate,5.6,1.6,3.4,4.7,4.2,3.4,4.7,7.5,7.3,1,4,4.1,Divorced,4.0,2,15.7,5,255.5,11.2,Competitive Grinder,42.1,0,Moderate,1,0.405,0.8
USR000023,27,Prefer not to say,Canada,Employed,Upper-Middle,15,Sandbox,PC,Mid-range PC,Silver,6.9,6,3.4,13.2,15.0,0.41,15,8,9,116.89,24,Premium,7.2,6.9,5.0,6.0,6.3,6.3,3.8,6.4,4.8,1,1,3.0,Prefer not to say,4.0,6,22.0,9,46.0,6.9,Toxic Competitor,50.59,1,Moderate,1,0.505,0.845
USR000024,13,Male,USA,Employed,Low,1,RPG,Mobile,Mobile,Gold,7.7,7,2.1,9.7,10.2,0.39,3,0,0,0,3,Ultimate,4.9,7.2,4.0,6.7,6.8,4.6,6.3,7.4,9.2,0,1,2.1,Single,4.0,3,9.6,6,115.4,10.9,Binge Player,39.54,0,Mild,1,0.545,0.728
USR000025,13,Male,India,Student,Low,1,Sandbox,PC,Mixed,Grandmaster,6.6,8,2.7,7.7,10.8,0.14,1,0,0,0,0,Ultimate,7.5,4.3,5.4,7.8,6.1,5.3,5.7,9.3,6.5,0,2,3.5,Single,3.28,3,9.5,3,126.4,7.5,Escape Seeker,45.58,0,Moderate,1,0.55,0.692
USR000026,26,Female,India,Employed,Middle,14,Casual,Console,Mid-range PC,Grandmaster,4.6,5,2.5,7.8,5.3,0.26,9,8,1,54.96,19,Premium,6.2,6.5,2.5,5.6,6.3,6.9,6.5,7.1,7.8,1,1,0,Single,4.0,1,12.5,3,158.6,5.4,Toxic Competitor,38.57,0,Mild,1,0.67,0.967
USR000027,28,Female,India,Employed,Low,16,Strategy,Console,Mobile,Diamond,1.5,2,0.1,2.4,3.6,0.61,1,2,0,31.12,10,None,6.1,5.8,1,6.3,3.1,4.9,4.0,7.2,6.8,2,0,0,In a relationship,4.0,0,0,6,36.5,3.7,Casual Enjoyer,19.56,0,None,1,0.445,0.808
USR000028,16,Male,USA,Freelancer,Low,4,MMORPG,Mobile,Mobile,Gold,4.6,6,2.1,3.7,3.9,0.51,0,0,7,14.45,11,None,6.0,2.7,3.9,7.2,5.4,2.9,3.8,6.1,6.7,1,3,1.3,In a relationship,4.0,3,0,6,110.8,6.2,Escape Seeker,32.49,0,Mild,1,0.335,0.59
USR000029,18,Male,India,Streamer/Content Creator,Middle,6,Strategy,PC,Mixed,Gold,2.0,4,1.1,1.7,1.4,0.07,0,0,4,12.93,0,None,6.4,10,1.4,7.5,3.7,7.2,7.4,7.2,7.0,2,0,1.3,Single,4.0,1,0,2,125.0,4.8,Casual Enjoyer,16.6,0,None,1,0.73,0.836
USR000030,20,Male,India,Employed,Middle,8,Sandbox,PC,Laptop,Bronze,6.8,10,1.6,8.6,11.3,0.06,2,7,4,72.3,15,Basic,4.6,9.3,4.5,4.2,5.8,6.0,6.5,8.6,8.0,0,2,3.9,Married,4.0,6,1.7,3,130.7,8.1,Toxic Competitor,44.78,0,Moderate,1,0.625,0.885
USR000031,20,Male,USA,Freelancer,Middle,7,Battle Royale,Mobile,Laptop,Platinum,4.1,2,2.0,5.8,9.4,0.98,0,0,11,50.96,10,Premium,8.9,5.5,2.1,6.4,5.1,5.7,4.0,5.3,6.0,3,2,1.0,In a relationship,4.0,1,8.9,8,78.3,6.4,Escape Seeker,29.01,0,Mild,1,0.485,0.82
USR000032,15,Male,USA,Student,Middle,3,MMORPG,Mobile,Mixed,Gold,5.8,7,0.6,7.2,10.9,0.71,0,7,0,35.71,8,None,7.7,4.9,6.5,7.2,5.3,1.6,4.3,5.0,7.4,1,1,0.4,Married,3.39,2,19.0,1,192.9,7.7,Toxic Competitor,31.35,0,Mild,1,0.295,0.894
USR000033,28,Female,Russia,Student,Middle,16,Battle Royale,Console,Console,Diamond,4.4,6,1.2,7.8,4.3,0.74,0,1,19,64.72,10,Ultimate,8.2,5.8,2.3,10,1,5.1,2.0,7.2,8.3,2,2,4.2,Single,3.25,1,19.7,1,44.5,7.3,Casual Enjoyer,18.21,0,None,1,0.355,0.612
USR000034,19,Male,Russia,Employed,Lower-Middle,7,Sandbox,PC,Console,Diamond,4.3,7,1.1,8.8,5.9,0.41,1,0,0,23.06,0,None,6.0,5.8,1.4,6.2,4.2,6.7,2.8,8.9,6.7,2,0,2.6,Single,4.0,2,8.5,2,80.8,6.7,Streamer/Creator,24.77,0,Mild,1,0.475,0.763
USR000035,20,Female,Australia,Student,High,6,MMORPG,Console,Mixed,Unranked,6.3,10,2.4,6.2,12.2,0.87,0,3,18,170.51,36,Premium,4.9,8.2,6.1,4.2,5.8,5.4,7.7,6.8,6.4,1,4,0.4,Prefer not to say,3.04,4,27.8,5,19.6,9.0,Binge Player,44.39,0,Moderate,1,0.655,0.841
USR000036,14,Female,Brazil,Employed,Middle,1,Sandbox,PC,Console,Silver,6.6,11,1.6,10.5,10.1,0.29,0,1,21,91.22,11,None,4.9,7.4,4.2,4.7,7.5,5.2,5.9,6.8,7.2,5,4,2.5,Prefer not to say,4.0,5,5.9,10,61.2,8.8,Escape Seeker,45.1,0,Moderate,1,0.555,0.819
USR000037,27,Male,India,Employed,Low,15,RPG,Console,Mixed,Silver,7.2,9,3.0,8.2,13.9,0.18,1,0,0,0.46,0,Basic,7.3,4.0,6.6,7.2,3.8,8.6,7.0,4.3,7.3,0,6,2.2,In a relationship,4.0,3,18.0,8,141.0,8.1,Streamer/Creator,44.26,0,Moderate,1,0.78,0.837
USR000038,31,Female,India,Employed,Upper-Middle,19,Sandbox,Console,Mobile,Gold,4.2,5,1.3,6.4,5.2,0.49,2,0,0,44.29,1,Basic,6.3,5.7,2.2,7.6,3.7,5.0,2.2,4.8,8.5,2,4,1.6,Single,4.0,0,15.5,5,167.9,5.3,Social Gamer,23.18,0,Mild,1,0.36,0.613
USR000039,13,Male,Brazil,Streamer/Content Creator,Middle,1,Sandbox,PC,Console,Bronze,9.3,7,2.5,9.7,13.9,0.32,1,3,7,50.75,9,Premium,7.2,7.1,7.9,4.2,6.7,6.3,6.5,5.7,5.6,3,3,4.2,Single,4.0,3,38.6,6,153.3,11.3,Streamer/Creator,61.25,1,Severe,1,0.64,0.975
USR000040,27,Male,India,Employed,Middle,15,MOBA,PC,Laptop,Diamond,4.4,4,1.6,6.0,2.7,0.46,0,3,1,31.48,10,Premium,6.9,4.6,2.4,6.6,3.7,4.9,1,7.3,6.7,2,2,6.6,Single,4.0,0,11.7,11,67.7,6.5,Social Gamer,29.84,0,Mild,1,0.295,0.698
USR000041,29,Male,Indonesia,Freelancer,Middle,17,MOBA,PC+Console,Console,Gold,6.7,5,2.3,9.0,9.8,0.74,3,1,3,13.99,0,Basic,10,7.7,2.4,7.9,3.7,9.8,6.9,3.9,6.9,0,4,0.4,Single,4.0,4,31.5,4,107.6,7.8,Competitive Grinder,28.83,0,Mild,1,0.835,0.823
USR000042,27,Male,Indonesia,Employed,Middle,15,Horror,PC,Mixed,Gold,10.2,10,4.0,8.9,16.5,0.1,0,0,0,21.46,6,Premium,8.9,5.0,6.2,7.6,3.1,7.8,3.9,4.5,4.2,0,3,1.5,Single,4.0,2,32.0,4,67.6,12.1,Binge Player,53.34,1,Moderate,1,0.585,0.842
USR000043,13,Male,USA,Freelancer,High,1,Casual,PC,Laptop,Diamond,7.3,5,3.7,9.8,6.2,0.7,0,5,3,99.74,16,Premium,6.6,5.6,3.9,7.6,2.8,5.5,3.7,7.0,5.8,0,5,0.1,Married,4.0,3,27.5,5,239.4,9.2,Competitive Grinder,39.88,0,Mild,1,0.46,0.687
USR000044,26,Male,USA,Employed,Middle,14,FPS,PC,High-end PC,Gold,4.8,6,1.7,4.2,11.7,1,1,5,0,0,1,Premium,8.3,3.8,3.0,9.2,2.0,4.2,3.7,5.8,6.4,1,0,3.6,In a relationship,4.0,1,20.3,4,42.0,6.6,Escape Seeker,28.09,0,Mild,1,0.395,0.74
USR000045,26,Male,Brazil,Employed,Middle,14,Strategy,PC,Mid-range PC,Gold,2.5,1,1.1,3.2,3.8,0.27,0,3,0,37.99,8,Basic,2.7,6.0,1.2,9.1,5.9,6.9,4.1,9.4,7.2,4,2,1.9,Single,4.0,3,0,4,42.0,3.6,Social Gamer,20.49,0,Mild,1,0.55,0.94
USR000046,28,Female,Mexico,Employed,Middle,16,Horror,PC+Console,Mixed,Silver,8.9,10,2.0,10.3,13.9,0.53,5,5,7,0,0,Basic,7.3,1.7,4.4,9.9,1,4.4,3.7,5.4,6.6,4,0,4.4,Married,4.0,7,30.6,7,102.0,11.8,Competitive Grinder,37.67,0,Mild,1,0.405,0.786
USR000047,29,Non-binary,Mexico,Employed,Low,17,Sandbox,Console,High-end PC,Bronze,1.3,1,0.6,1.8,3.2,0.12,1,0,7,15.9,5,Premium,5.2,7.8,1.0,7.0,5.9,1.3,3.6,7.7,9.1,4,0,3.0,Single,4.0,0,12.0,3,102.9,3.9,Casual Enjoyer,22.13,0,Mild,1,0.245,0.769
USR000048,28,Male,USA,Freelancer,Upper-Middle,16,Casual,PC,High-end PC,Platinum,11.9,12,4.0,16.3,20.6,0.32,2,0,5,45.19,11,None,9.3,3.6,8.4,6.0,4.5,6.7,3.8,7.8,5.5,0,3,3.8,Married,4.0,3,44.2,12,83.1,13.9,Streamer/Creator,61.37,1,Severe,1,0.525,1
USR000049,27,Female,China,Student,Middle,15,MOBA,Mobile,High-end PC,Silver,5.8,9,1.2,6.0,8.9,0.69,1,0,9,49.78,12,Basic,6.5,4.9,4.0,7.1,4.9,4.3,3.6,5.8,7.8,1,3,4.7,Prefer not to say,2.64,1,11.8,4,122.3,7.4,Social Gamer,36.82,0,Mild,1,0.395,0.799
USR000050,26,Male,UK,Employed,Lower-Middle,14,MMORPG,PC,High-end PC,Bronze,5.5,9,2.2,6.3,6.9,0.72,2,0,8,57.74,12,Ultimate,7.9,4.2,3.7,6.3,2.9,5.0,4.0,4.1,8.0,1,3,0.3,In a relationship,4.0,2,2.3,8,80.6,7.2,Escape Seeker,31.02,0,Mild,1,0.45,0.928
USR000051,16,Male,India,Employed,Middle,4,Strategy,PC,Mobile,Platinum,4.9,4,3.1,5.5,7.4,0.43,2,0,2,0,2,Premium,7.5,7.5,2.4,8.3,1.3,4.4,2.9,4.9,7.7,2,3,1.9,In a relationship,4.0,2,5.7,2,147.6,6.2,Escape Seeker,24.5,0,Mild,1,0.365,1
USR000052,24,Female,Russia,Employed,Lower-Middle,12,MOBA,Console,Console,Bronze,8.5,12,2.7,12.2,16.6,0.69,1,0,0,0,0,Basic,6.8,6.5,4.0,6.2,6.4,5.4,4.6,5.8,5.5,1,0,0.2,Single,4.0,4,29.1,6,5,8.9,Escape Seeker,44.93,0,Moderate,1,0.5,0.778
USR000053,18,Prefer not to say,India,Student,Lower-Middle,4,MMORPG,PC,Laptop,Bronze,9.0,13,3.7,7.2,11.9,0.24,2,3,6,28.05,0,Basic,6.2,6.6,3.9,6.3,4.2,6.5,4.8,7.5,6.5,2,6,0,Prefer not to say,2.45,2,23.1,4,151.3,10.4,Binge Player,44.91,0,Moderate,1,0.565,0.834
USR000054,13,Male,USA,Student,Lower-Middle,1,Casual,Console,Laptop,Silver,6.0,7,2.0,10.6,12.1,0.39,3,0,0,46.56,8,None,7.1,4.9,4.2,9.2,5.4,8.3,6.1,8.5,8.0,2,5,0.9,In a relationship,2.43,0,21.0,6,5,8.4,Binge Player,29.32,0,Mild,1,0.72,0.861
USR000055,19,Non-binary,Germany,Freelancer,Upper-Middle,7,Battle Royale,PC+Mobile,Laptop,Platinum,5.5,6,3.0,10.1,8.8,0.92,1,0,8,36.3,6,Basic,4.6,1.1,5.1,9.3,2.4,2.5,5.4,5.2,8.0,1,2,3.1,In a relationship,4.0,0,17.6,4,116.9,6.8,Casual Enjoyer,32.28,0,Mild,1,0.395,0.788
USR000056,17,Male,Germany,Student,Middle,5,FPS,PC,Mixed,Diamond,6.1,7,2.6,8.1,3.8,0.77,0,10,0,38.96,14,None,6.4,5.1,3.7,3.7,6.3,7.4,5.1,6.4,4.8,1,3,2.8,Single,3.12,1,8.5,6,102.6,7.8,Toxic Competitor,48.22,0,Moderate,1,0.625,0.732
USR000057,31,Male,India,Employed,Lower-Middle,19,Battle Royale,Mobile,Mixed,Gold,8.8,11,2.7,11.3,13.3,0.71,4,0,0,22.72,6,None,7.5,2.7,4.4,8.5,3.7,5.3,5.8,6.3,7.7,1,2,2.8,Married,4.0,5,17.2,5,75.9,9.7,Competitive Grinder,42.75,0,Moderate,1,0.555,0.648
USR000058,22,Male,Japan,Student,Lower-Middle,10,Sports,PC,Mobile,Unranked,5.0,8,1.9,4.0,8.0,0.36,1,1,4,52.93,3,Basic,4.5,6.9,4.9,5.1,8.3,3.9,4.0,7.1,8.0,2,5,0.2,In a relationship,3.05,3,0,9,137.5,6.8,Escape Seeker,36.65,0,Mild,1,0.395,0.773
USR000059,17,Female,Russia,Student,Middle,5,FPS,PC,Console,Diamond,5.2,5,1.8,8.8,8.3,0.19,2,0,3,49.43,6,Ultimate,5.3,3.9,3.6,7.2,3.9,4.9,2.8,8.8,8.4,3,1,4.1,Single,3.41,2,11.8,7,116.3,7.8,Binge Player,30.64,0,Mild,1,0.385,0.747
USR000060,19,Male,Mexico,Student,Upper-Middle,7,Horror,PC,Mobile,Diamond,9.8,11,4.2,7.8,16.4,0.38,0,0,6,77.17,18,Basic,7.2,7.9,5.2,7.8,3.8,4.1,6.2,7.5,7.5,1,2,3.0,Single,2.81,2,40.2,12,5,13.3,Streamer/Creator,48.35,0,Moderate,1,0.515,0.675
